solveAPX pomer-kapacity
value	average error	max error	average steps	max steps
0,1	0,021356936126947695	0,12137203166226913	297,1	361
0,2	0,00983883213308816	0,058931860036832415	503,3	624
0,3	0,009032803858336689	0,03375527426160337	678,05	871
0,4	0,00617442580257311	0,03985507246376811	830,35	1042
0,5	0,004676678607116004	0,028151774785801713	951,5	1207
0,6	0,005131402530475263	0,02219482120838471	1048,65	1333
0,7	0,0014220208384372248	0,012779552715654952	1118,65	1396
0,8	0,0022791100959556865	0,02181500872600349	1170,4	1469
0,9	0,0009603322081925419	0,014677103718199608	1204,2	1520
