heuristicSolve pomer-kapacity
value	average error	max error	average steps	max steps
0,1	0,024145233814541957	0,1111111111111111	20	20
0,2	0,006537282686810633	0,03625954198473282	20	20
0,3	0,009189647472992786	0,03286384976525822	20	20
0,4	0,005409458167379562	0,02857142857142857	20	20
0,5	0,011332283433606042	0,04142692750287687	20	20
0,6	0,005236179948629555	0,026371308016877638	20	20
0,7	0,0034151317317058865	0,018847006651884702	20	20
0,8	0,002201796884205175	0,01616161616161616	20	20
0,9	0,0018003495587394168	0,012404580152671756	20	20
